series,country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Computer, communications and other services (% of commercial service exports)",Sweden,SWE,49.95180664,51.67872819,50.65448388,53.19220097,52.39588604,52.32217936,52.37781371,54.98391034,55.93344777,59.39404551,61.47781593,62.20136482,62.32070747,60.31865552,60.89257732,60.66910661,60.97957026,60.42991322,67.00303946
"Computer, communications and other services (% of commercial service exports)",Turkey,TUR,42.66263238,24.68173032,17.56331378,10.83342631,11.78660593,9.333866628,9.657635277,8.755869338,9.118192732,8.199456952,7.654451426,8.10797546,8.013359492,11.56504801,11.61347084,12.17192082,12.3489135,11.96086981,11.03937359
"Computer, communications and other services (% of commercial service exports)",United States,USA,37.67129816,40.39216282,42.64681707,43.10943952,42.51817351,42.79124259,43.74478743,44.40766255,44.39300999,46.85475877,44.63098255,44.7612872,44.29638811,44.09053394,44.35501674,45.23847813,46.23356308,46.66230176,46.87343242
"Computer, communications and other services (% of commercial service exports)",United Kingdom,GBR,45.1584262,45.08253064,46.08007526,45.23247384,45.82218778,43.59076952,42.63965101,41.31478688,42.45646313,42.75167943,44.34317806,43.5650614,44.67153091,44.26252585,45.31095999,46.97982129,48.35545361,50.16916705,51.08981826
"Computer, communications and other services (% of commercial service exports)",Uruguay,URY,5.343270374,6.404646615,6.713734513,9.90516031,12.94415715,11.85484598,16.20443322,19.72008059,19.14911379,18.33210514,19.46120693,16.72839914,34.81538643,35.80723805,36.91084625,38.98145402,35.02084183,37.28319791,37.99208891
"Computer, communications and other services (% of commercial service imports)",Albania,ALB,3.122730574,3.29618212,3.134243256,8.476781381,11.51774289,19.50306626,17.52013662,15.18652825,12.65173433,8.838924988,10.9761181,8.133430018,7.874644485,9.948117215,8.924220198,9.887975058,10.3211949,10.21313525,9.164979046
"Computer, communications and other services (% of commercial service imports)",Algeria,DZA,,,,,,48.52487891,52.63622325,56.63797158,62.36026167,67.45185331,66.50129002,65.41625728,56.58517703,53.62640567,56.08333829,55.8521513,58.42558624,59.83869507,
"Computer, communications and other services (% of commercial service imports)",Argentina,ARG,18.86865699,21.5796751,27.72677586,26.74100321,28.29738277,27.88963233,32.19682883,31.74835779,32.87621532,37.12353473,35.41169291,36.7336011,36.0094061,37.77424343,37.88903068,34.60708794,31.18441689,31.06022446,31.73695782
"Computer, communications and other services (% of commercial service imports)",Armenia,ARM,10.71647877,38.89131283,33.08720773,30.80496914,26.3445844,21.24767846,20.9018883,15.04334685,12.79763167,14.82030399,12.87437065,10.17965937,9.307869857,8.725123691,8.853981538,10.47381945,10.15811877,9.193725219,9.593739949
"Computer, communications and other services (% of commercial service imports)",Australia,AUS,26.35483508,27.53185672,28.78718493,27.92606732,23.10874362,22.28887045,22.72486251,24.57788421,26.23774046,28.25386993,26.6680352,26.90557116,28.08859266,29.47207134,28.32490989,27.62501315,26.09668369,25.91954407,26.02777879
"Computer, communications and other services (% of commercial service imports)",Austria,AUT,,,,,,44.99378827,35.92363723,35.74215106,37.54076208,37.54559499,35.20441035,36.16459715,38.61090423,43.15396671,43.7302336,44.28667372,44.67424162,45.215275,47.69409838
"Computer, communications and other services (% of commercial service imports)",Azerbaijan,AZE,41.98674242,57.36266136,77.39185029,83.92688245,83.29512978,77.42716029,70.63553907,69.71585413,71.69028358,64.05395418,55.7132147,51.10900224,50.60203587,50.72395999,59.23281896,55.90767239,52.33132834,51.65582523,39.97703196
"Computer, communications and other services (% of commercial service imports)",Barbados,BRB,33.73431975,32.45815135,36.6152319,44.30830228,38.97329473,47.40420676,45.06836765,46.21634039,56.65603217,62.57014874,61.87982355,57.04768038,63.20904956,72.20356263,70.51565702,66.21939925,65.21588232,,
"Computer, communications and other services (% of commercial service imports)",Belgium,BEL,,,42.92636002,42.45864607,40.6582475,38.9263147,38.15051281,41.70523494,43.67419244,47.0893558,45.59847302,46.77106085,49.21914239,50.55199386,52.54665004,57.79189995,56.11506305,55.52912824,55.65589894
"Computer, communications and other services (% of commercial service imports)",Brazil,BRA,39.47075408,43.66877898,45.34086402,49.67413285,45.31491233,47.72775137,46.72719323,45.7239406,45.53343889,49.41984849,47.99757667,46.53788294,48.44061097,47.14235147,50.47326288,55.98411532,58.48515927,54.68084139,53.30067367
"Computer, communications and other services (% of commercial service imports)",Bulgaria,BGR,18.07466602,21.51588845,23.18323167,21.9594261,19.55251927,25.05499589,27.24613138,34.27065468,32.05720725,34.63417041,43.6801464,39.31319428,40.56313412,36.71713504,36.59917157,37.43637274,32.80195005,25.02585351,24.32510996
"Computer, communications and other services (% of commercial service imports)",Cameroon,CMR,53.49290678,56.71048733,63.2273805,47.57940434,43.96811381,34.76850825,33.19272803,34.2483327,46.77059003,42.51275253,46.14076377,19.18429577,23.59366146,29.09643742,28.58751372,23.69726655,25.64731304,30.61260533,29.34839209
"Computer, communications and other services (% of commercial service imports)",Canada,CAN,41.04540961,41.08591483,42.24683653,43.50472389,42.21290672,39.86806932,38.23519455,36.47656975,36.3543409,39.4627844,36.55241913,36.49410085,37.36980136,37.58263811,37.43764599,37.14512912,37.23798678,37.72383608,37.65595035
"Computer, communications and other services (% of commercial service imports)",Chile,CHL,31.76938378,31.2614954,28.94645898,31.99699899,27.92817315,25.40104443,24.18171778,23.9619994,24.17445444,28.66506428,25.98071992,26.30841094,30.90810497,33.98186347,34.60056877,39.4490951,39.92145158,37.54612575,39.29487975
"Computer, communications and other services (% of commercial service imports)",China,CHN,27.75166707,28.55540258,30.1609834,30.63153931,30.14085554,30.92592327,31.81295316,34.2922043,35.81409476,29.5662252,3.224904168,29.68843707,24.93975561,24.50821591,18.55846491,19.98008368,21.15279586,22.26388163,23.24150696
"Computer, communications and other services (% of commercial service imports)",Colombia,COL,16.41013018,15.51046864,16.07992495,18.02642075,18.94010707,19.39174574,22.63137275,22.35104299,23.02503605,29.33736728,27.64784894,29.09823263,27.03155872,31.884823,29.26841726,27.03564063,25.29292577,23.8915062,24.8158328
"Computer, communications and other services (% of commercial service imports)",Croatia,HRV,45.80569711,44.6132084,45.15671679,56.45142048,57.05183091,56.80055836,55.76418248,52.28502049,49.7240387,47.47690584,48.63821777,47.10062568,45.69023004,44.74060327,48.55920884,51.50704522,47.84687895,44.9832718,45.42295459
"Computer, communications and other services (% of commercial service imports)",Czech Republic,CZE,67.77345245,68.73165012,47.98099682,47.98801672,41.31559093,41.07480289,41.2150363,42.07967804,41.548942,44.39376689,44.7740295,45.83095517,47.83161038,46.01639353,46.05712025,46.99953411,47.8816763,47.67418372,48.08107654
"Computer, communications and other services (% of commercial service imports)",Cyprus,CYP,10.25904605,10.96460765,13.70443445,16.41436433,17.85212403,16.94848543,21.90918927,19.37908922,22.69321162,22.94442051,21.17259743,25.87156723,29.36909711,35.07779548,29.03061887,31.37736914,27.30877662,31.91991913,32.37432583
"Computer, communications and other services (% of commercial service imports)",Denmark,DNK,33.46642897,32.6579263,35.99090726,33.86444009,34.84418381,32.7020117,30.76728037,30.29822146,31.8856043,32.7083626,30.8978324,32.22028669,33.75078014,31.3803135,31.77070311,33.78402503,37.77212502,37.56463873,39.51020794
"Computer, communications and other services (% of commercial service imports)",Ecuador,ECU,36.60757808,30.45276304,26.7969838,27.51991536,24.04700339,22.48756023,21.57625557,20.55459084,18.84283195,19.2294853,14.41977082,12.44035615,12.92736617,13.84374669,14.16659182,15.6909345,19.96193737,19.08511092,19.21516723
"Computer, communications and other services (% of commercial service imports)","Egypt, Arab Rep.",EGY,47.5631895,43.24528421,42.20898278,37.36209591,34.95523837,33.32562004,28.52296806,24.88901793,27.19804102,24.13377098,20.65368835,22.39393709,24.10040496,21.31511771,22.41719219,26.18156378,20.97006456,29.27569396,28.09267853
"Computer, communications and other services (% of commercial service imports)",France,FRA,41.06869731,42.29252995,44.3380293,44.30318505,44.71810859,46.00759837,47.03187868,47.74616383,48.83401128,51.93816141,49.89897372,48.2263451,51.67038654,52.13288275,54.51251084,58.3771528,57.17106908,55.60032729,55.51901885
"Computer, communications and other services (% of commercial service imports)",Germany,DEU,38.61362705,41.1571981,38.95231216,37.49750878,36.89020343,37.39183091,37.79164558,36.69167616,36.17468244,38.92744564,38.98720854,40.01959582,41.58085193,43.28944119,44.07794305,46.71478383,48.62745741,49.32966698,49.10844173
"Computer, communications and other services (% of commercial service imports)",Greece,GRC,18.53265041,17.45275256,19.71473439,20.46823199,21.85691176,19.54297062,20.80820499,21.27000785,21.50550489,24.50200654,22.30694799,21.66199917,20.52159242,19.25015925,23.12476246,15.12669238,16.25523193,17.92721152,17.20104802
"Computer, communications and other services (% of commercial service imports)",Hungary,HUN,44.35321799,48.33012311,49.38771787,51.34288258,55.22872878,56.62926154,59.54847162,60.6345424,58.39028387,61.97157861,60.44535308,61.1197657,61.71310897,63.89325968,62.43548288,62.18297523,60.22309071,59.58516144,58.86574511
"Computer, communications and other services (% of commercial service imports)",India,IND,28.37083872,28.11704085,30.98278006,39.80935522,40.51042491,35.17642407,36.89716947,34.1830457,48.24929629,51.35334874,57.81671141,49.51158775,56.03015778,57.94107849,54.78091224,57.78082443,61.35692728,61.0358569,61.8427982
"Computer, communications and other services (% of commercial service imports)",Ireland,IRL,,,,,,72.99610509,70.82072416,70.87827674,73.80070813,76.24931577,78.05792126,79.33458923,78.87801026,79.18342902,80.68439524,83.9849791,86.62773118,86.1440935,84.60706588
"Computer, communications and other services (% of commercial service imports)",Iceland,ISL,,,,,,,,,,,,,,44.80288139,46.62070164,43.22763406,40.84381703,36.47097167,37.58793019
"Computer, communications and other services (% of commercial service imports)",Israel,ISR,37.96121257,40.24329819,40.00677093,38.82547982,40.13721344,41.01703318,43.07884208,43.07493758,44.17792849,45.72238476,45.67871821,45.89039057,50.28159259,48.41439892,48.00107922,46.53473222,46.44949884,48.24084225,46.41600978
"Computer, communications and other services (% of commercial service imports)",Italy,ITA,42.82092103,46.53537725,43.81681864,44.04493464,41.44915478,43.5178373,45.62498426,46.5971838,42.90725425,43.17431454,42.69129301,42.49729186,41.90255952,41.09925462,41.30035163,41.23879343,41.60646507,42.10021156,42.70231634
"Computer, communications and other services (% of commercial service imports)",Japan,JPN,41.05735679,43.48891985,44.09372407,40.90260214,38.42387157,39.92174256,44.708338,46.95600258,48.57259798,51.98086149,48.22693765,50.04295671,48.66439524,53.15941718,60.34099206,61.61964776,62.76865009,62.16707136,63.21234138
"Computer, communications and other services (% of commercial service imports)","Korea, Rep.",KOR,42.67637025,39.85535041,36.90975332,38.33900745,37.58565066,36.85823781,36.38170687,35.5655716,39.09296732,48.14223105,45.9281643,47.49905646,48.68816871,49.47386648,49.5026242,48.26768533,47.01755305,47.85027386,48.04675887
"Computer, communications and other services (% of commercial service imports)",Moldova,MDA,27.97451165,24.42938659,27.55575636,23.39514447,29.62874466,24.7078422,18.71190264,20.37099876,19.8951494,23.89091439,22.0082069,19.00429933,21.36189032,22.82583476,23.5273073,26.19094343,29.04993834,27.33948965,28.73776581
"Computer, communications and other services (% of commercial service imports)",Morocco,MAR,29.34353375,29.03975795,29.20714405,26.2633784,27.59401974,26.7759849,28.69356506,29.20408786,30.29351847,30.19195554,27.58308875,26.42306073,25.47634396,29.21925034,32.89616539,33.62229431,34.40192551,31.18109836,29.02787076
"Computer, communications and other services (% of commercial service imports)",Netherlands,NLD,46.54842493,49.04384408,50.06187546,53.44542971,66.22524627,66.06712313,66.12240753,66.17851598,65.97769543,66.09124438,64.48621737,65.79320108,65.59753178,66.47667653,68.72540802,73.40493633,68.26541275,68.43488441,67.38094129
"Computer, communications and other services (% of commercial service imports)",Nepal,NPL,28.54542694,26.27880013,15.03607468,17.1687048,16.57330457,17.33608969,18.01386718,17.38411332,11.54605824,11.57461838,15.69424118,16.86835356,11.01332161,14.07221891,16.44176507,17.43981178,15.59160676,13.76721696,13.92912613
"Computer, communications and other services (% of commercial service imports)",Nigeria,NGA,58.55545955,58.55546705,58.55556892,46.13563793,,51.67239099,43.05054153,30.50381497,21.45351951,29.84859014,26.47952635,30.16707091,23.98406381,23.45290708,30.61853987,19.10955945,29.05608113,34.53876601,44.22604835
"Computer, communications and other services (% of commercial service imports)",Norway,NOR,31.3572953,30.94478957,29.49652686,25.58207581,23.55589948,30.0735336,32.78758039,33.85504842,36.1652519,40.17692728,41.2531063,39.718034,40.19839298,40.66993392,40.26119085,43.20296314,45.16411052,41.32825276,39.57450177
"Computer, communications and other services (% of commercial service imports)",Pakistan,PAK,7.096124811,9.155937053,11.44578313,12.46710526,31.37178488,43.00411523,40.74844075,39.88554076,35.00960922,30.04878964,24.97328652,26.24190065,32.73507991,30.43778484,26.36591479,28.84966525,37.47802701,39.68616301,44.05259825
"Computer, communications and other services (% of commercial service imports)",Panama,PAN,18.89422189,15.58379515,13.91395424,14.45119482,12.04933586,13.02753362,11.06100311,10.94960774,9.284451618,12.11935225,8.837535531,16.54701743,17.78013759,18.28281038,22.74788703,19.52058408,18.79065896,20.2056433,18.46167761
"Computer, communications and other services (% of commercial service imports)",Peru,PER,33.46359002,27.80935544,25.40476391,25.68802949,24.99856301,23.29199092,23.2636646,25.36423285,25.65139535,28.42938695,27.83182486,28.90632099,30.86566317,30.91564078,30.70117438,29.6806417,30.37510107,29.79415562,29.45863087
"Computer, communications and other services (% of commercial service imports)",Paraguay,PRY,4.176702711,5.541922854,7.252015313,8.072964521,2.783576896,2.581955819,3.229832915,2.866672706,2.040358017,2.173842904,2.114148948,1.389425814,1.32399807,4.466813781,2.761054732,2.613557849,2.696874955,2.382476406,2.250836524
"Computer, communications and other services (% of commercial service imports)",Poland,POL,39.219226,34.53806189,38.29787234,43.76503238,37.65989466,37.47741935,37.37250102,39.69065735,38.74860262,41.50126909,44.82200647,46.63132186,45.12764867,47.97531367,48.59769612,49.12702275,49.27077842,49.67243494,50.21222898
"Computer, communications and other services (% of commercial service imports)",Portugal,PRT,30.43381084,31.09879714,32.34143167,33.14485865,33.48835798,32.41558502,35.20637133,36.06040022,36.98537868,40.36272009,38.34798447,36.84196275,34.86538358,36.1140027,39.3293671,40.34126281,43.01457139,40.99784316,39.9304139
"Computer, communications and other services (% of commercial service imports)",Philippines,PHL,24.98550725,26.43979058,23.25795183,24.34442998,20.08943928,14.8174022,16.05376496,19.216141,23.43749011,19.06219886,15.35383791,16.46040307,19.11488265,23.04080262,24.05997497,29.15454682,26.99871381,26.9686611,26.72393884
"Computer, communications and other services (% of commercial service imports)",Qatar,QAT,,,,,,,,,,,,17.93233103,25.20238391,26.35100019,22.81599619,21.27443391,22.2815691,21.71907214,22.29144507
"Computer, communications and other services (% of commercial service imports)",Russian Federation,RUS,29.5628519,36.80374337,37.45155413,38.07472746,36.69531454,39.05920665,41.67181735,43.57438304,46.798419,45.456552,42.28646235,41.83657088,40.63898649,39.76469441,41.21145133,42.22470546,46.92351882,43.96347613,43.89648192
"Computer, communications and other services (% of commercial service imports)",Saudi Arabia,SAU,77.18287862,64.01585518,62.72045938,61.59403246,66.58893099,9.050062096,12.70503871,28.16325208,31.18521206,26.63353714,28.30604024,34.14961444,23.29502844,22.28083209,24.5248697,23.89981237,29.12127638,32.99557816,33.65560774
"Computer, communications and other services (% of commercial service imports)",Singapore,SGP,35.24274903,35.84113143,38.52131129,41.63312813,41.49923181,40.869987,42.83856809,41.09126835,44.41016557,47.11896142,46.97626614,48.6565419,51.18394021,52.5655618,52.91102865,51.03828444,51.79112964,52.43305078,49.89354922
"Computer, communications and other services (% of commercial service imports)",Slovenia,SVN,36.8579637,39.23902573,41.26250072,41.31360784,41.02356435,42.57432572,43.97617532,46.78308268,45.7827162,42.56890908,43.73004172,45.40727332,49.70599463,49.48982427,48.82706325,48.55791781,47.7953586,47.55045882,47.73894093
"Computer, communications and other services (% of commercial service imports)",South Africa,ZAF,13.5766067,16.34924134,17.95965065,17.55638686,19.41824551,21.04180753,21.91635318,22.64644139,23.21753512,29.21785645,29.92445982,29.43843111,29.85940015,32.21612833,31.36205098,33.202106,37.3462552,35.03305184,32.40518802
"Computer, communications and other services (% of commercial service imports)",Spain,ESP,81.55159793,80.77792111,80.47408678,80.1205603,77.40474366,74.62915064,75.19718186,74.30180752,74.79736749,75.11449868,74.14487081,74.80214568,75.13533113,48.1163194,46.47978602,46.02039362,47.47708056,45.21744791,45.95291405
